Piciformes,Picidae,Campephilus melanoleucos,Carpintero marcial,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/37_Campephilus%20melanoleucos.jpg?raw=true
Piciformes,Picidae,Colaptes punctigula,Carpintero buchipecoso,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/38_Colaptes%20punctigula.jpg?raw=true
Passeriformes,Furnariidae,Dendroplex picus,Trepatroncos pico-de-lanza,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/39_Dendroplex%20picus.jpg?raw=true
Passeriformes,Thamnophilidae,Sakesphorus canadenses,Batará copetón o carcajada hembra,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/40_Sakesphorus%20canadenses_f.jpg?raw=true
Passeriformes,Thamnophilidae,Sakesphorus canadenses,Batará copetón o carcajada macho,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/40_Sakesphorus%20canadenses_m.jpg?raw=true
Passeriformes,Thamnophilidae,Formicivora grisea,Hormiguerito pechinegro,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/41_Formicivora%20grisea.jpg?raw=true
Passeriformes,Tyrannidae,Camptostoma obsoletum,Atrapamoscas,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/42_Camptostoma%20obsoletum.jpg?raw=true
Passeriformes,Tyrannidae,Machetornis rixosa,Sirirí bueyero,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/43_Machetornis%20rixosa.jpg?raw=true
Passeriformes,Tyrannidae,Myiozetetes similis,Suelda social,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/44_Myiozetetes%20similis.jpg?raw=true
Passeriformes,Tyrannidae,Pitangus sulphuratus,Bichofué,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/45_Pitangus%20sulphuratus.jpg?raw=true
Passeriformes,Tyrannidae,Megarynchus pitangua,Atrapamoscas picudo,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/46_Megarynchus%20pitangua.jpg?raw=true
Passeriformes,Tyrannidae,Tyrannus dominicensis,Sirirí gris,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/47_Tyrannus%20dominicensis.jpg?raw=true
Passeriformes,Tyrannidae,Tyrannus melancholicus,Sirirí común,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/48_Tyrannus%20melancholicus.jpg?raw=true
Passeriformes,Tyrannidae,Elaenia flavogaster,Elenia copetona,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/49_Elaenia%20flavogaster.jpg?raw=true
Passeriformes,Tyrannidae,Myiarchus crinitus,Atrapamoscas copetón,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/50_Myiarchus%20crinitus.jpg?raw=true
Passeriformes,Vireonidae,Cyclarhis gujanensis,Verderon cejirrufo,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/51_Cyclarhis%20gujanensis.jpg?raw=true
Passeriformes,Vireonidae,Hylophilus flavipes,Verdillo paticlaro,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/52_Hylophilus%20flavipes.jpg?raw=true
Passeriformes,Corvidae,Cyanocorax affinis,Carriquí pechiblanca o chauchao,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/53_Cyanocorax%20affinis.jpg?raw=true
