orden,familia,especie,nombre comun,imagen
Passeriformes,Tyrannidae,Machetornis rixosa,Sirirí bueyero,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/43_Machetornis%20rixosa.jpg?raw=true
Passeriformes,Tyrannidae,Myiozetetes similis,Suelda social,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/44_Myiozetetes%20similis.jpg?raw=true
Passeriformes,Tyrannidae,Pitangus sulphuratus,Bichofué,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/45_Pitangus%20sulphuratus.jpg?raw=true
Passeriformes,Tyrannidae,Megarynchus pitangua,Atrapamoscas picudo,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/46_Megarynchus%20pitangua.jpg?raw=true
Passeriformes,Tyrannidae,Tyrannus dominicensis,Sirirí gris,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/47_Tyrannus%20dominicensis.jpg?raw=true
Passeriformes,Tyrannidae,Tyrannus melancholicus,Sirirí común,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/48_Tyrannus%20melancholicus.jpg?raw=true
Passeriformes,Tyrannidae,Elaenia flavogaster,Elenia copetona,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/49_Elaenia%20flavogaster.jpg?raw=true
Passeriformes,Tyrannidae,Myiarchus crinitus,Atrapamoscas copetón,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/50_Myiarchus%20crinitus.jpg?raw=true
Passeriformes,Vireonidae,Cyclarhis gujanensis,Verderon cejirrufo,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/51_Cyclarhis%20gujanensis.jpg?raw=true
Passeriformes,Vireonidae,Hylophilus flavipes,Verdillo paticlaro,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/52_Hylophilus%20flavipes.jpg?raw=true
Passeriformes,Corvidae,Cyanocorax affinis,Carriquí pechiblanca o chauchao,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/53_Cyanocorax%20affinis.jpg?raw=true
Passeriformes,Hirundinidae,Progne tapera,Golondrina sabanera,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/54_Progne%20tapera.jpg?raw=true
Passeriformes,Troglodytidae,Troglodytes aedon,Cucarachero común o ruiseñor,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/55_Troglodytes%20aedon.jpg?raw=true
Passeriformes,Troglodytidae,Campylorhynchus griseus,Chupahuevos,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/56_Campylorhynchus%20griseus.jpg?raw=true
Passeriformes,Turdidae,Turdus grayi,Mirla parda,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/57_Turdus%20grayi.jpg?raw=true
Passeriformes,Thraupidae,Thraupis episcopus,Azulejo común,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/58_Thraupis%20episcopus.jpg?raw=true
Passeriformes,Thraupidae,Thraupis glaucocolpa,Azulejo glauco,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/59_Thraupis%20glaucocolpa.jpg?raw=true
Passeriformes,Thraupidae,Volatinia jacarina,Chirrío hembra,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/60_Volatinia%20jacarina_f.jpg?raw=true
Passeriformes,Thraupidae,Volatinia jacarina,Chirrío macho,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/60_Volatinia%20jacarina_m.jpg?raw=true
Passeriformes,Thraupidae,Sicalis flaveola,Canario común hembra,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/61_Sicalis%20flaveola_f.jpg?raw=true
Passeriformes,Thraupidae,Sicalis flaveola,Canario común macho,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/61_Sicalis%20flaveola_m.jpg?raw=true
Passeriformes,Thraupidae,Coereba flaveola,Mielero común,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/62_Coereba%20flaveola.jpg?raw=true
Passeriformes,Thraupidae,Saltator coerulescens,Saltador papayero,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/63_Saltator%20coerulescens.JPG?raw=true
Passeriformes,Thraupidae,Dacnis cayana,Dacnis azul hembra,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/64_Dacnis%20cayana_f.jpg?raw=true
Passeriformes,Thraupidae,Dacnis cayana,Dacnis azul macho,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/64_Dacnis%20cayana_m.jpg?raw=true
Passeriformes,Thraupidae,Piranga rubra,Piranga rubra,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/65_Piranga%20rubra.jpg?raw=true
Passeriformes,Icteridae,Icterus galbula,Oriol de Baltimore,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/66_Icterus%20galbula.jpg?raw=true
Passeriformes,Icteridae,Icterus nigrogularis,Turpial amarillo,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/67_Icterus%20nigrogularis.jpg?raw=true
Passeriformes,Icteridae,Molothrus bonariensis,Chamón común,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/68_Molothrus%20bonariensis.jpg?raw=true
Passeriformes,Icteridae,Molothrus aeneus,Chamón ceribeño,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/69_Molothrus%20aeneus.jpg?raw=true
Passeriformes,Icteridae,Quiscalus mexicanus,Mariamulata,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/70_Quiscalus%20mexicanus.jpg?raw=true
Passeriformes,Fringillidae,Euphonia laniirostris,Eufonia gorgiamarillo hembra,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/71_Euphonia%20laniirostris_f.jpg?raw=true
Passeriformes,Fringillidae,Euphonia laniirostris,Eufonia gorgiamarillo macho,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/71_Euphonia%20laniirostris_m.jpg?raw=true
